Ref,Val,Package,PosX,PosY,Rot,Side
"C101","47uF/63V","CP_Axial_L11.0mm_D6.0mm_P18.00mm_Horizontal",38.293000,77.421000,180.000000,top
"C102","47uF","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal",33.848000,64.594000,180.000000,top
"C103","10uF","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal",76.520000,59.641000,90.000000,top
"C104","47uF/20V","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal",43.119000,77.294000,0.000000,top
"C105","10uF","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal",56.200000,60.784000,0.000000,top
"C201","15nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",35.118000,28.526000,180.000000,top
"C202","150nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",30.165000,31.955000,0.000000,top
"C203","4.7nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",30.165000,25.224000,0.000000,top
"C204","820pF","C_Disc_D5.0mm_W2.5mm_P5.00mm",54.676000,7.952000,0.000000,top
"C301","15nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",35.245000,56.593000,180.000000,top
"C302","150nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",30.292000,60.022000,0.000000,top
"C303","4.7nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",30.292000,53.164000,0.000000,top
"C304","820pF","C_Disc_D5.0mm_W2.5mm_P5.00mm",54.549000,33.860000,0.000000,top
"D101","1N4007","D_DO-41_SOD81_P12.70mm_Horizontal",32.578000,69.674000,180.000000,top
"D201","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",44.135000,32.082000,0.000000,top
"D202","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",44.135000,29.034000,0.000000,top
"D203","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",61.280000,14.429000,90.000000,top
"D204","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",57.470000,14.429000,90.000000,top
"D301","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",41.595000,59.133000,0.000000,top
"D302","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",49.215000,55.704000,180.000000,top
"D303","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",61.915000,40.464000,90.000000,top
"D304","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",58.105000,40.464000,90.000000,top
"P101","CONN_2","Altech_AK300_1x02_P5.00mm_45-Degree",11.400000,81.100000,-90.000000,top
"P102","CONN_2","Altech_AK300_1x02_P5.00mm_45-Degree",11.300000,68.600000,-90.000000,top
"P201","CONN_2","Altech_AK300_1x02_P5.00mm_45-Degree",11.115000,26.367000,-90.000000,top
"P202","CONN_2","Altech_AK300_1x02_P5.00mm_45-Degree",97.692500,25.542500,90.000000,top
"P301","CONN_2","Altech_AK300_1x02_P5.00mm_45-Degree",11.400000,53.000000,-90.000000,top
"P302","CONN_2","Altech_AK300_1x02_P5.00mm_45-Degree",97.700000,51.700000,90.000000,top
"Q201","MPSA92","TO-92_HandSolder",47.945000,22.684000,0.000000,top
"Q202","MPSA42","TO-92_HandSolder",65.725000,22.938000,0.000000,top
"Q203","MPSA92","TO-92_HandSolder",68.265000,14.175000,180.000000,top
"Q204","MPSA42","TO-92_HandSolder",47.056000,12.270000,0.000000,top
"Q301","MPSA92","TO-92_HandSolder",47.945000,49.354000,0.000000,top
"Q302","MPSA42","TO-92_HandSolder",66.995000,48.084000,0.000000,top
"Q303","MPSA92","TO-92_HandSolder",67.503000,37.035000,180.000000,top
"R2","0603WAF6201T5E","C4260",117.965000,20.825000,0.000000,top
"R3","RC0402FR-07910RL2","C276279",121.445000,27.925000,0.000000,top
"R4","RC0402FR-07910RL2","C276279",121.445000,20.985000,0.000000,top
"R5","0603WAF6201T5E","C4260",117.965000,25.295000,0.000000,top
"R6","0603WAF6201T5E","C4260",117.965000,18.355000,0.000000,top
"R201","1K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",26.355000,30.939000,180.000000,top
"R202","22K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",26.355000,27.764000,180.000000,top
"R203","22K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",26.355000,25.224000,180.000000,top
"R204","470","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",63.185000,29.034000,180.000000,top
"R205","220K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",39.055000,22.684000,-90.000000,top
"R206","47","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",89.855000,18.874000,180.000000,top
"R207","47","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",89.855000,15.064000,180.000000,top
"R208","1K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",42.865000,9.984000,180.000000,top
"R209","220K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",72.710000,21.287000,-90.000000,top
"R210","220K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",76.520000,21.414000,-90.000000,top
"R211","5,6K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",60.899000,11.127000,180.000000,top
"R212","1K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",50.993000,17.858000,180.000000,top
"R213","4,7K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",19.370000,11.254000,90.000000,top
"R301","1K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",26.863000,59.260000,180.000000,top
"R302","22K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",27.117000,55.704000,180.000000,top
"R303","22K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",19.497000,53.037000,0.000000,top
"R304","470","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",61.915000,51.894000,180.000000,top
"R305","220K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",54.295000,56.974000,0.000000,top
"R306","47","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",89.855000,46.814000,180.000000,top
"R307","47","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",89.855000,40.464000,180.000000,top
"R308","1K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",42.103000,36.654000,180.000000,top
"R309","220K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",73.345000,48.084000,-90.000000,top
"R310","220K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",77.790000,48.084000,-90.000000,top
"R311","5,6K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",58.105000,36.654000,180.000000,top
"R312","1K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",42.611000,43.004000,180.000000,top
"R313","4,7K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",18.735000,35.384000,90.000000,top
"RV201","4,7K","Potentiometer_Bourns_3266W_Vertical",9.845000,12.524000,180.000000,top
"RV301","4,7K","Potentiometer_Bourns_3266W_Vertical",9.845000,37.924000,180.000000,top
"U101","78L05","TO-92_HandSolder",40.706000,67.134000,90.000000,top
"U102","ICL7660","DIP-8_W7.62mm_LongPads",61.915000,65.864000,90.000000,top
"U201","LM358N","DIP-8_W7.62mm_LongPads",23.815000,13.794000,90.000000,top
"U301","LM358N","DIP-8_W7.62mm_LongPads",23.815000,41.734000,90.000000,top
